inputValue	outputValue	
0		0b000.00
0.0078125	0b000.00
0.015625	0b000.00
0.0234375	0b000.00
0.03125		0b000.00
0.0390625	0b000.00
0.046875	0b000.00
0.0546875	0b000.00
0.0625		0b000.00
0.0703125	0b000.00
0.078125	0b000.00
0.0859375	0b000.00
0.09375		0b000.00
0.101562	0b000.00
0.109375	0b000.00
0.117188	0b000.00
0.125		0b000.00
0.132812	0b000.01
0.140625	0b000.01
0.148438	0b000.01
0.15625		0b000.01
0.164062	0b000.01
0.171875	0b000.01
0.179688	0b000.01
0.1875		0b000.01
0.195312	0b000.01
0.203125	0b000.01
0.210938	0b000.01
0.21875		0b000.01
0.226562	0b000.01
0.234375	0b000.01
0.242188	0b000.01
0.25		0b000.01
0.257812	0b000.01
0.265625	0b000.01
0.273438	0b000.01
0.28125		0b000.01
0.289062	0b000.01
0.296875	0b000.01
0.304688	0b000.01
0.3125		0b000.01
0.320312	0b000.01
0.328125	0b000.01
0.335938	0b000.01
0.34375		0b000.01
0.351562	0b000.01
0.359375	0b000.01
0.367188	0b000.01
0.375		0b000.01
0.382812	0b000.10
0.390625	0b000.10
0.398438	0b000.10
0.40625		0b000.10
0.414062	0b000.10
0.421875	0b000.10
0.429688	0b000.10
0.4375		0b000.10
0.445312	0b000.10
0.453125	0b000.10
0.460938	0b000.10
0.46875		0b000.10
0.476562	0b000.10
0.484375	0b000.10
0.492188	0b000.10
0.5		0b000.10
0.507812	0b000.10
0.515625	0b000.10
0.523438	0b000.10
0.53125		0b000.10
0.539062	0b000.10
0.546875	0b000.10
0.554688	0b000.10
0.5625		0b000.10
0.570312	0b000.10
0.578125	0b000.10
0.585938	0b000.10
0.59375		0b000.10
0.601562	0b000.10
0.609375	0b000.10
0.617188	0b000.10
0.625		0b000.10
0.632812	0b000.11
0.640625	0b000.11
0.648438	0b000.11
0.65625		0b000.11
0.664062	0b000.11
0.671875	0b000.11
0.679688	0b000.11
0.6875		0b000.11
0.695312	0b000.11
0.703125	0b000.11
